,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,6.348213831583659,0.39578546234735834,0.8921137650807699,0.1917703558284955,1.1,100,"{'learning_rate': 1.1, 'n_estimators': 100}",0.8595526914329037,0.858117713960762,0.8601080466306511,0.8592594932709926,0.000838572091748996,24,0.8636148232395033,0.8612045680708904,0.861441501208359,0.8620869641729176,0.0010846810048485429
1,7.424630800882976,0.43765896826436856,0.8376299540201823,0.07309685874629275,1.1,120,"{'learning_rate': 1.1, 'n_estimators': 120}",0.8589840788476119,0.8593498246611696,0.8613401573310586,0.859891324951033,0.0010352793100648358,21,0.8648469339399109,0.8630052599156518,0.8627209401506895,0.8635243780020841,0.0009423640799244541
2,6.862981081008911,0.1311256645843845,1.397675593694051,0.07255648558271581,1.1,140,"{'learning_rate': 1.1, 'n_estimators': 140}",0.859931766489765,0.8602976021230215,0.8620983793005402,0.8607758893030897,0.0009469713626089934,18,0.8656051559093925,0.8633369663081079,0.8635265128180828,0.8641562116785276,0.0010274763607915347
3,9.052367925643921,0.02844597169010089,1.617341121037801,0.417457391177813,1.1,160,"{'learning_rate': 1.1, 'n_estimators': 160}",0.860216072782411,0.8602028243768364,0.8628566012700218,0.8610918051431099,0.0012478814629866978,16,0.8655103781632073,0.8649481116428944,0.8641425389755011,0.8648670095938676,0.0005613550080673639
4,4.557015975316365,0.048469242262625195,0.6060965855916342,0.1096873657957496,1.15,100,"{'learning_rate': 1.15, 'n_estimators': 100}",0.8587945413191812,0.8573594919912805,0.8631409345085774,0.859764958615025,0.002457960488333698,23,0.8628092123969292,0.8596408093635975,0.862104913993271,0.8615183119179326,0.0013583742590562301
5,7.378304958343506,0.5746357043821914,1.0525192419687908,0.23038175701607194,1.15,120,"{'learning_rate': 1.15, 'n_estimators': 120}",0.8578468536770281,0.8584020471993176,0.8639939342242442,0.8600808744550452,0.002776153761051973,20,0.8638517676049664,0.8620101407382836,0.8622470738757523,0.8627029940730008,0.0008180443340537948
6,7.609420458475749,0.6329393282627577,0.8713366985321045,0.06345560540369653,1.15,140,"{'learning_rate': 1.15, 'n_estimators': 140}",0.8586050037907506,0.8591602691687992,0.8651312671784664,0.8609654388071017,0.0029543255154661258,17,0.8644678229551701,0.8630526465431455,0.8631000331706392,0.8635401675563182,0.0006562366328190457
7,8.326593319574991,0.5505549156602463,1.2858946323394775,0.2055083128937084,1.15,160,"{'learning_rate': 1.15, 'n_estimators': 160}",0.8604056103108415,0.8603923798692067,0.8657947114017629,0.8621975105831806,0.002543550559974898,13,0.8650838783053739,0.8641425389755011,0.8636212860730702,0.8642825677846484,0.000605254800362186
8,5.904828945795695,0.5236225925625844,0.8494457403818766,0.056674781914864795,1.2,100,"{'learning_rate': 1.2, 'n_estimators': 100}",0.8587945413191812,0.8594446024073548,0.8614349350772439,0.859891324951033,0.0011232723051182725,21,0.8629987678892996,0.8629578732881581,0.8601620622660285,0.8620395678144955,0.0013277018755462598
9,5.78169043858846,0.4820083540435413,1.2077749570210774,0.1977603780435394,1.2,120,"{'learning_rate': 1.2, 'n_estimators': 120}",0.8590788476118272,0.8607714908539474,0.8622879347929107,0.8607127061350857,0.0013107739202341479,19,0.8648943228130035,0.86400037909302,0.8613467279533715,0.8634138099531317,0.0015065202374841087
10,7.393912156422933,0.7221045051819502,1.72862712542216,0.21783977577758126,1.2,140,"{'learning_rate': 1.2, 'n_estimators': 140}",0.8603108415466262,0.8612453795848735,0.8645626007013554,0.8620395526631706,0.0018243621894630617,14,0.8656525447824851,0.8637160593280576,0.8637634459555513,0.8643773500220314,0.0009019063628163167
11,7.812529404958089,0.16069602774424396,1.295998255411784,0.4965392434542876,1.2,160,"{'learning_rate': 1.2, 'n_estimators': 160}",0.8616376042456406,0.8619088238081698,0.8655103781632073,0.8630188917672332,0.0017651813947741092,5,0.8650364894322813,0.8647585651329195,0.8645690186229446,0.8647880243960485,0.00019197764719459923
12,5.227532386779785,0.47995575539255647,0.8507259686787924,0.16544012054863852,1.3,100,"{'learning_rate': 1.3, 'n_estimators': 100}",0.8601213040181956,0.8601080466306511,0.8639939342242442,0.8614077209831301,0.0018286936006532137,15,0.8618140460619846,0.8636686727005639,0.8616784343458276,0.8623870510361255,0.000907932891227251
13,5.764641125996907,0.03681948450081466,0.7287182013193766,0.10742084911882649,1.3,120,"{'learning_rate': 1.3, 'n_estimators': 120}",0.8621114480667172,0.8608662686001327,0.8649417116860961,0.862639792759209,0.0017051996631959549,7,0.8635674343664108,0.8642373122304886,0.862294460503246,0.8633664023667151,0.000805803370220735
14,9.118816216786703,0.36101607814597564,1.2232152620951335,0.6094646218561547,1.3,140,"{'learning_rate': 1.3, 'n_estimators': 140}",0.8611637604245641,0.8617192683157995,0.8660790446403185,0.8629873001832312,0.0021978734557496424,6,0.8653682115439295,0.8658958441927688,0.8628157134056769,0.8646932563807918,0.0013449844535861437
15,8.544634660085043,0.27263631251806597,0.7094759146372477,0.012306998191995235,1.3,160,"{'learning_rate': 1.3, 'n_estimators': 160}",0.8595526914329037,0.8622879347929107,0.8652260449246517,0.8623554685031908,0.00231664736008631,9,0.8655103781632073,0.8666066436051746,0.8641899256029948,0.8654356491237922,0.0009880350187835454
