,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,2.196086883544922,0.21106023343261252,0.027701616287231445,0.0029873863247103583,0,0.08,6,180,4,"{'gamma': 0, 'learning_rate': 0.08, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4}",0.8670394238059136,0.8675954885792816,0.8695858212491707,0.8680735452075568,0.0010931471597449098,15,0.8846554828926169,0.8841396957778515,0.8839501492678766,0.8842484426461149,0.0002980417102410815
1,2.8944709300994873,0.2751690863962705,0.06769212086995442,0.007363672591204494,0,0.08,6,210,4,"{'gamma': 0, 'learning_rate': 0.08, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4}",0.8664708112206216,0.8675007108330964,0.8694910435029855,0.8678208125355406,0.0012536166239025504,34,0.8874040375319875,0.8858930009951191,0.8862247073875752,0.8865072486382273,0.0006484237414313802
2,2.7359227339426675,0.16272283092148002,0.04117902119954427,0.006669427290796995,0,0.08,6,240,4,"{'gamma': 0, 'learning_rate': 0.08, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4}",0.8668498862774829,0.8683537105487632,0.8689223770258743,0.8680419536235546,0.0008743425209150248,16,0.8892995924556915,0.8882149457423115,0.8880253992323366,0.8885133124767798,0.0005613431058861358
3,2.5460733572642007,0.11907490970711873,0.03734254837036133,0.004332146230950113,0,0.08,7,180,4,"{'gamma': 0, 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 180, 'n_jobs': 4}",0.8663760424564063,0.8680693773102076,0.868732821533504,0.8677260377835345,0.0009923141871128684,35,0.8903895365368212,0.8902999573520353,0.8890205184097048,0.8899033374328537,0.0006253176143966186
4,2.9903883934020996,0.3928263649361694,0.04290326436360677,0.013506590540035121,0,0.08,7,210,4,"{'gamma': 0, 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 210, 'n_jobs': 4}",0.8662812736921911,0.8671215998483556,0.8693962657568003,0.8675996714475264,0.0013158618013139787,42,0.892285091460525,0.8925271288442401,0.8918163294318343,0.8922095165788665,0.00029506227955285506
5,3.808661699295044,0.07396799325735662,0.04808576901753744,0.0010865858204443465,0,0.08,7,240,4,"{'gamma': 0, 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 240, 'n_jobs': 4}",0.8657126611068992,0.8656999336555776,0.869775376741541,0.867062614519492,0.0019181741511533606,89,0.8932802577954696,0.8953229398663697,0.893569634649102,0.8940576107703139,0.0009024884235079583
6,2.8861289024353027,0.07024077541123126,0.042693535486857094,0.00606268070677748,0,0.08,8,180,4,"{'gamma': 0, 'learning_rate': 0.08, 'max_depth': 8, 'n_estimators': 180, 'n_jobs': 4}",0.8659021986353298,0.8675954885792816,0.8674059330869112,0.8669678397674859,0.0007575207481717077,103,0.8953653682115439,0.8955598730038383,0.8948016869639388,0.8952423093931069,0.00032152669393685
7,3.435703992843628,0.03032408284561441,0.044655561447143555,0.009493629959879653,0,0.08,8,210,4,"{'gamma': 0, 'learning_rate': 0.08, 'max_depth': 8, 'n_estimators': 210, 'n_jobs': 4}",0.865049279757392,0.8670268221021704,0.8663633778788741,0.8661464585834334,0.0008217755920174776,152,0.8971661453890627,0.898166137515993,0.8984030706534616,0.8979117845195056,0.000536045776990225
8,3.5966433684031167,0.266273160758305,0.060665130615234375,0.011743108738000843,0,0.08,8,240,4,"{'gamma': 0, 'learning_rate': 0.08, 'max_depth': 8, 'n_estimators': 240, 'n_jobs': 4}",0.8656178923426838,0.8669320443559853,0.8670268221021704,0.8665255575914577,0.0006430118452236872,135,0.8984456449625627,0.9010093351656162,0.9004880822631853,0.8999810207971214,0.0011063333922114805
9,2.1908414363861084,0.0313735484502797,0.0367278258005778,0.007507601284206515,0,0.1,6,180,4,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4}",0.8666603487490523,0.8680693773102076,0.8695858212491707,0.8681051367915588,0.0011945962048605244,14,0.8874040375319875,0.8872672131924371,0.8877410794673743,0.8874707767305997,0.0001991279355996678
10,2.2776358127593994,0.1131679050270092,0.05744433403015137,0.019922988808749896,0,0.1,6,210,4,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4}",0.8670394238059136,0.8688275992796891,0.8702492654724671,0.8687053768875972,0.001313269397491646,2,0.8893943702018766,0.8893522248021608,0.8899682509595792,0.8895716153212057,0.0002809910210906692
11,2.890402317047119,0.039579171433924094,0.032339255015055336,0.0015515659953930987,0,0.1,6,240,4,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4}",0.8662812736921911,0.8684484882949484,0.8700597099800966,0.8682630947115688,0.0015481124913763052,6,0.8920007582219694,0.8908212102544661,0.8919111026868218,0.8915776903877525,0.000536163017988826
12,2.4244579474131265,0.2000400845474221,0.04720346132914225,0.005298378625422541,0,0.1,7,180,4,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 180, 'n_jobs': 4}",0.8670394238059136,0.8660790446403185,0.8678798218178372,0.8669994313514879,0.0007356963415621178,98,0.8952705904653587,0.8948016869639388,0.8940435009240393,0.8947052594511122,0.0005055761627597611
