,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,9.493846495946249,0.2501616207438706,0.04257941246032715,0.0039108147764276655,0.08,6,150,4,"{'learning_rate': 0.08, 'max_depth': 6, 'n_estimators': 150, 'n_jobs': 4}",0.8686504927975739,0.8669320443559853,0.8681641550563928,0.8679155872875466,0.0007232404751550013,15,0.8809591507913942,0.8805856987158224,0.8788323934985547,0.8801257476685903,0.0009271606728965009
1,7.573253075281779,2.5345492663364277,0.05799182256062826,0.00564707162002185,0.08,6,180,4,"{'learning_rate': 0.08, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4}",0.8686504927975739,0.8666477111174297,0.8674059330869112,0.8675680798635244,0.000825638016147758,24,0.8827125390958203,0.8821020707956215,0.8807752452257973,0.8818632850390796,0.0008087195075560558
2,8.974191506703695,2.7872350979932827,0.054224650065104164,0.011818240544500846,0.08,6,210,4,"{'learning_rate': 0.08, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4}",0.8676080363912054,0.8671215998483556,0.8676902663254668,0.8674733051115183,0.00025094290871193224,28,0.8844185385271538,0.8833815097379519,0.8820546841681277,0.8832849108110779,0.0009674538308283172
3,14.589496692021688,0.20066854381393115,0.058396100997924805,0.00861401347622745,0.08,6,240,4,"{'learning_rate': 0.08, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4}",0.8678923426838514,0.867311155340726,0.8680693773102076,0.8677576293675365,0.00032386483439623607,19,0.8855558714813762,0.8849452684452448,0.882860256835521,0.8844537989207139,0.0011540483236254385
4,8.951498746871948,0.47575366469991837,0.08460156122843425,0.018559262513908915,0.08,6,270,4,"{'learning_rate': 0.08, 'max_depth': 6, 'n_estimators': 270, 'n_jobs': 4}",0.8678923426838514,0.8678798218178372,0.8675007108330964,0.8677576293675365,0.00018173643507926558,19,0.8868827599279689,0.885750841112638,0.8841870824053452,0.885606894481984,0.0011052027870794426
5,8.112530390421549,2.0264883611499815,0.044092416763305664,0.004398262885108382,0.09,6,150,4,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 150, 'n_jobs': 4}",0.8677028051554208,0.8663633778788741,0.8678798218178372,0.8673153471915082,0.0006769962184150173,29,0.8827599279689129,0.8816282045206842,0.8802539923233663,0.8815473749376546,0.0010246392636841534
6,9.7306489944458,2.3803063494839325,0.046741088231404625,0.0046478207288232305,0.09,6,180,4,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4}",0.8679871114480667,0.867311155340726,0.8681641550563928,0.8678208125355406,0.00036755030877266907,18,0.8832812055729314,0.8838079893853954,0.8817703644031655,0.8829531864538307,0.0008635879800474136
7,10.839748859405518,2.9747829342717496,0.04831123352050781,0.0039580196456195415,0.09,6,210,4,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4}",0.8672289613343442,0.8671215998483556,0.8681641550563928,0.8675048966955203,0.00046821107136719217,25,0.8851767604966354,0.885229588210207,0.8835236696204332,0.8846433394424252,0.0007920198122690549
8,10.198522965113321,3.107506047759189,0.05730517705281576,0.0033213584062193203,0.09,6,240,4,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4}",0.8682714177407127,0.8675954885792816,0.8681641550563928,0.8680103620395526,0.0002966032593413297,12,0.8858402047199317,0.8865564137800312,0.8846135620527887,0.8856700601842505,0.0008022385683319407
9,11.510799964269003,3.6659314351370766,0.0621341864267985,0.010692775101499115,0.09,6,270,4,"{'learning_rate': 0.09, 'max_depth': 6, 'n_estimators': 270, 'n_jobs': 4}",0.8691243366186505,0.8675007108330964,0.8678798218178372,0.8681683199595628,0.0006935277003654885,5,0.8881148706283765,0.8879780126048429,0.8857982277401317,0.8872970369911171,0.0010612899094280535
10,9.705878416697184,0.27294241956196,0.04204130172729492,0.011646415033151133,0.1,6,150,4,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150, 'n_jobs': 4}",0.868081880212282,0.8671215998483556,0.8685432660411335,0.8679155872875466,0.0005921766045774296,15,0.882854705715098,0.8829076434630148,0.8809647917357721,0.8822423803046283,0.0009036500114323801
11,7.656306028366089,2.5021682654770285,0.0481261412302653,0.003734439711629307,0.1,6,180,4,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4}",0.868081880212282,0.8674059330869112,0.8688275992796891,0.8681051367915588,0.0005806165791732272,8,0.884987205004265,0.8847557219352699,0.8831919632279771,0.8843116300558372,0.0007973441151162416
12,10.869853576024374,3.045481138524787,0.04981215794881185,0.013924485673214165,0.1,6,210,4,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4}",0.8674184988627748,0.8678798218178372,0.8693014880106151,0.8681999115435648,0.0008013594554937696,2,0.88617192683158,0.8867933469174999,0.8846609486802824,0.8858754074764542,0.0008954415508545548
13,12.75676441192627,3.077970551523637,0.05866861343383789,0.00825587627472263,0.1,6,240,4,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4}",0.8677975739196361,0.8682589328025779,0.8688275992796891,0.8682946862955708,0.0004212686699343993,1,0.8879727040090987,0.8886888120172487,0.8865564137800312,0.8877393099354595,0.000886053104401544
