,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,1.3535186449686687,0.09041550995389587,0.04321455955505371,0.009713831791264225,0.06,4,180,4,reg:logistic,"{'learning_rate': 0.06, 'max_depth': 4, 'n_estimators': 180, 'n_jobs': 4, 'objective': 'reg:logistic'}",0.8378506444275967,0.8350867216377594,0.8371718320538337,0.836703102293549,0.0011760443139510557,2,0.8426215524594826,0.8439558356631759,0.8457565275079373,0.8441113052101986,0.0012845609427990054
1,1.2646315097808838,0.06001206344960166,0.031486829121907554,0.005591892661133046,0.06,4,180,4,reg:linear,"{'learning_rate': 0.06, 'max_depth': 4, 'n_estimators': 180, 'n_jobs': 4, 'objective': 'reg:linear'}",0.8393669446550417,0.8325277224907591,0.8347076106530187,0.8355342136854742,0.002852642609370027,10,0.8437588854137048,0.8448561815855565,0.8458986873904184,0.8448379181298932,0.0008736659507486929
2,1.508807897567749,0.06938790029521508,0.02593088150024414,0.006957268796022883,0.06,4,210,4,reg:logistic,"{'learning_rate': 0.06, 'max_depth': 4, 'n_estimators': 210, 'n_jobs': 4, 'objective': 'reg:logistic'}",0.8372820318423048,0.8355606103686855,0.8365083878305374,0.8364503696215329,0.0007039692879105804,3,0.8442327741446308,0.8458986873904184,0.8472255129602426,0.8457856581650973,0.001224391851478355
3,1.5462786356608074,0.024892476864618037,0.02792509396870931,0.005641720945870261,0.06,4,210,4,reg:linear,"{'learning_rate': 0.06, 'max_depth': 4, 'n_estimators': 210, 'n_jobs': 4, 'objective': 'reg:linear'}",0.8388931008339652,0.8327172779831296,0.8346128329068335,0.835407847349466,0.0025831971244734834,17,0.845512273718131,0.8462777804103682,0.8476519926076861,0.8464806822453951,0.0008852404937163324
4,1.6977790991465251,0.05795767596339273,0.04383230209350586,0.012124086434953404,0.06,4,240,4,reg:logistic,"{'learning_rate': 0.06, 'max_depth': 4, 'n_estimators': 240, 'n_jobs': 4, 'objective': 'reg:logistic'}",0.8363343442001516,0.836318832338167,0.8366031655767225,0.8364187780375308,0.00013053229627800331,4,0.8463652734337977,0.8466568734303179,0.8485997251575605,0.8472072906738921,0.000991770465035285
5,1.7459317048390706,0.032149936433018465,0.023547013600667317,0.007800656882872693,0.06,4,240,4,reg:linear,"{'learning_rate': 0.06, 'max_depth': 4, 'n_estimators': 240, 'n_jobs': 4, 'objective': 'reg:linear'}",0.8389878695981804,0.8332859444602407,0.8349919438915743,0.8357553547734884,0.00238958746200066,7,0.8471234954032794,0.847509832725205,0.8486471117850543,0.8477601466378463,0.000646706791289285
6,2.032402594884237,0.08773596603026948,0.03969311714172363,0.0022633631883348052,0.06,6,180,4,reg:logistic,"{'learning_rate': 0.06, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4, 'objective': 'reg:logistic'}",0.8358605003790751,0.8366031655767225,0.8341389441759075,0.8355342136854742,0.0010321187404349146,10,0.8566486588948915,0.8572240913614179,0.8598303558735725,0.8579010353766273,0.0013843142263308115
7,2.18093474706014,0.01726532542157306,0.04255342483520508,0.003671763550337761,0.06,6,180,4,reg:linear,"{'learning_rate': 0.06, 'max_depth': 6, 'n_estimators': 180, 'n_jobs': 4, 'objective': 'reg:linear'}",0.8369029567854435,0.8354658326225002,0.8316747227750924,0.8346812409174196,0.002205354374179304,34,0.8645626007013554,0.8653745912903379,0.8650902715253755,0.8650091545056896,0.00033641953699816476
8,2.42972731590271,0.1286458593740262,0.043392578760782875,0.01243446262978743,0.06,6,210,4,reg:logistic,"{'learning_rate': 0.06, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4, 'objective': 'reg:logistic'}",0.8357657316148598,0.8365083878305374,0.8334754999526112,0.835249889429456,0.001290766789394414,18,0.8593498246611696,0.8617732076008151,0.8627683267781832,0.861297119680056,0.0014356262192799624
9,2.600754419962565,0.05651382281031346,0.0312496821085612,0.003390247170274372,0.06,6,210,4,reg:linear,"{'learning_rate': 0.06, 'max_depth': 6, 'n_estimators': 210, 'n_jobs': 4, 'objective': 'reg:linear'}",0.8366186504927976,0.8346128329068335,0.8312956117903516,0.8341757755733873,0.0021950026088325414,43,0.8679745995640223,0.8689759749798607,0.8685021087049235,0.8684842277496022,0.0004090052789257958
10,2.7182811896006265,0.10825291600084017,0.03662427266438802,0.00943484150933394,0.06,6,240,4,reg:logistic,"{'learning_rate': 0.06, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4, 'objective': 'reg:logistic'}",0.8369029567854435,0.835844943607241,0.8339493886835371,0.8355658052694762,0.0012218459986571778,9,0.86318832338167,0.8663223238402122,0.8660853907027437,0.8651986793082086,0.0014248233905609883
11,2.815255324045817,0.05466371929449787,0.07047828038533528,0.01598500713801312,0.06,6,240,4,reg:linear,"{'learning_rate': 0.06, 'max_depth': 6, 'n_estimators': 240, 'n_jobs': 4, 'objective': 'reg:linear'}",0.836144806671721,0.8352762771301299,0.8318642782674628,0.8344285082454034,0.0018474868911266807,40,0.8709127096957634,0.872482585414396,0.8712031464720655,0.8715328138607417,0.0006819764821729547
